timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/07/02 10:51:58.644, 69 %, 36 %, 29535 MiB, 266.84 W
2026/07/02 10:51:59.648, 53 %, 30 %, 29535 MiB, 251.91 W
2026/07/02 10:52:00.648, 71 %, 39 %, 29535 MiB, 281.91 W
2026/07/02 10:52:01.648, 47 %, 25 %, 29535 MiB, 251.92 W
2026/07/02 10:52:02.648, 47 %, 21 %, 29535 MiB, 212.00 W
2026/07/02 10:52:03.649, 59 %, 30 %, 29535 MiB, 235.71 W
2026/07/02 10:52:04.649, 47 %, 25 %, 29535 MiB, 223.95 W
2026/07/02 10:52:05.649, 73 %, 47 %, 29535 MiB, 207.27 W
2026/07/02 10:52:06.649, 51 %, 21 %, 29535 MiB, 233.02 W
2026/07/02 10:52:07.649, 50 %, 19 %, 29535 MiB, 225.61 W
2026/07/02 10:52:08.649, 73 %, 47 %, 29535 MiB, 233.48 W
2026/07/02 10:52:09.649, 57 %, 28 %, 29535 MiB, 258.13 W
2026/07/02 10:52:10.649, 50 %, 28 %, 29535 MiB, 208.67 W
2026/07/02 10:52:11.650, 46 %, 20 %, 29535 MiB, 239.14 W
2026/07/02 10:52:12.650, 53 %, 25 %, 29535 MiB, 238.39 W
2026/07/02 10:52:13.650, 4 %, 2 %, 29535 MiB, 217.12 W
2026/07/02 10:52:14.650, 57 %, 28 %, 29535 MiB, 235.31 W
2026/07/02 10:52:15.650, 54 %, 27 %, 29535 MiB, 247.34 W
2026/07/02 10:52:16.650, 48 %, 26 %, 29535 MiB, 229.14 W
2026/07/02 10:52:17.651, 47 %, 19 %, 29535 MiB, 210.15 W
2026/07/02 10:52:18.651, 51 %, 21 %, 29535 MiB, 226.27 W
2026/07/02 10:52:19.651, 50 %, 28 %, 29535 MiB, 216.20 W
2026/07/02 10:52:20.651, 60 %, 40 %, 29535 MiB, 213.23 W
2026/07/02 10:52:21.651, 47 %, 20 %, 29535 MiB, 260.36 W
2026/07/02 10:52:22.651, 44 %, 23 %, 29535 MiB, 236.32 W
